dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,350.0,0.0775045,0.0826253,0.0446165,0.0925367,,,,,,,,,
fig4_spectralData.csv,,,,351.0,0.0770688,0.0826825,0.0357714,0.0934467,,,,,,,,,
fig4_spectralData.csv,,,,352.0,0.0722773,0.0776718,0.0297301,0.0889032,,,,,,,,,
fig4_spectralData.csv,,,,353.0,0.0715356,0.0773021,0.0308882,0.0853681,,,,,,,,,
fig4_spectralData.csv,,,,354.0,0.073282,0.0795095,0.0342102,0.0849457,,,,,,,,,
fig4_spectralData.csv,,,,355.0,0.071508,0.0770651,0.0310858,0.0867963,,,,,,,,,
fig4_spectralData.csv,,,,356.0,0.0700576,0.0750114,0.0235111,0.0872824,,,,,,,,,
fig4_spectralData.csv,,,,357.0,0.0700113,0.0756329,0.0228388,0.0859035,,,,,,,,,
fig4_spectralData.csv,,,,358.0,0.0706018,0.0775184,0.0298897,0.0836307,,,,,,,,,
fig4_spectralData.csv,,,,359.0,0.0682742,0.0731263,0.0264794,0.0830314,,,,,,,,,
fig4_spectralData.csv,,,,360.0,0.0680188,0.0728113,0.0256408,0.0827555,,,,,,,,,
fig4_spectralData.csv,,,,361.0,0.0691754,0.0746459,0.0254551,0.0824458,,,,,,,,,
fig4_spectralData.csv,,,,362.0,0.0695165,0.0737647,0.0212412,0.0822681,,,,,,,,,
fig4_spectralData.csv,,,,363.0,0.0693348,0.0736002,0.0223697,0.083668,,,,,,,,,
fig4_spectralData.csv,,,,364.0,0.0702968,0.07429,0.0245139,0.0846862,,,,,,,,,
fig4_spectralData.csv,,,,365.0,0.07164,0.0748918,0.0243799,0.0842674,,,,,,,,,
fig4_spectralData.csv,,,,366.0,0.0695412,0.0733912,0.0206988,0.0823935,,,,,,,,,
fig4_spectralData.csv,,,,367.0,0.0691017,0.0732527,0.0195561,0.0830711,,,,,,,,,
fig4_spectralData.csv,,,,368.0,0.0693348,0.0735918,0.0201355,0.0842197,,,,,,,,,
fig4_spectralData.csv,,,,369.0,0.068531,0.0730521,0.020344,0.083366,,,,,,,,,
fig4_spectralData.csv,,,,370.0,0.0685407,0.0730155,0.0208121,0.0827303,,,,,,,,,
fig4_spectralData.csv,,,,371.0,0.0692565,0.0734093,0.0215624,0.0829605,,,,,,,,,
fig4_spectralData.csv,,,,372.0,0.0699797,0.0738015,0.0218835,0.0837119,,,,,,,,,
