Wavelength (nm),MMS1,MMS2,JSC Mars-1,MGS-1 Prototype
350,0.0775045,0.0826253,0.0446165,0.0925367
351,0.0770688,0.0826825,0.0357714,0.0934467
352,0.0722773,0.0776718,0.0297301,0.0889032
353,0.0715356,0.0773021,0.0308882,0.0853681
354,0.073282,0.0795095,0.0342102,0.0849457
355,0.071508,0.0770651,0.0310858,0.0867963
356,0.0700576,0.0750114,0.0235111,0.0872824
357,0.0700113,0.0756329,0.0228388,0.0859035
358,0.0706018,0.0775184,0.0298897,0.0836307
359,0.0682742,0.0731263,0.0264794,0.0830314
360,0.0680188,0.0728113,0.0256408,0.0827555
361,0.0691754,0.0746459,0.0254551,0.0824458
362,0.0695165,0.0737647,0.0212412,0.0822681
363,0.0693348,0.0736002,0.0223697,0.083668
364,0.0702968,0.07429,0.0245139,0.0846862
365,0.07164,0.0748918,0.0243799,0.0842674
366,0.0695412,0.0733912,0.0206988,0.0823935
367,0.0691017,0.0732527,0.0195561,0.0830711
368,0.0693348,0.0735918,0.0201355,0.0842197
369,0.068531,0.0730521,0.020344,0.083366
370,0.0685407,0.0730155,0.0208121,0.0827303
371,0.0692565,0.0734093,0.0215624,0.0829605
372,0.0699797,0.0738015,0.0218835,0.0837119
373,0.0696193,0.0735302,0.0205147,0.0838783
374,0.0704622,0.0743153,0.0202842,0.0834093
375,0.0712792,0.0750118,0.0206784,0.083552
376,0.071036,0.0746993,0.0207862,0.0847756
377,0.071505,0.074897,0.0207581,0.0844644
378,0.0716931,0.07501,0.020316,0.0845269
379,0.0717597,0.0751461,0.0197419,0.0851339
380,0.0725801,0.0758463,0.019673,0.0852791
381,0.072796,0.0762824,0.0203202,0.0854411
382,0.0726537,0.076189,0.0206237,0.0854325
383,0.0726682,0.0758496,0.0201101,0.0853082
384,0.0733621,0.076706,0.0201879,0.0859867
385,0.0740343,0.0772061,0.0201252,0.0867398
386,0.0743941,0.0772029,0.0200354,0.0872719
387,0.074449,0.0773573,0.0204433,0.0875478
388,0.0747805,0.0778199,0.0209144,0.0874094
389,0.0750923,0.0780067,0.0210831,0.0874613
390,0.0752974,0.0778333,0.0208836,0.0879751
391,0.0761883,0.078677,0.020821,0.0883125
392,0.0765107,0.0789062,0.0208218,0.0886232
393,0.0764698,0.0787085,0.0208042,0.0888537
394,0.0769477,0.0791224,0.0207049,0.0888992
395,0.0773196,0.0795232,0.020851,0.0891932
396,0.077652,0.0797392,0.0210662,0.0895627
397,0.0780084,0.0797888,0.0211866,0.0898989
398,0.0782444,0.0799514,0.0211599,0.0904685
399,0.0783111,0.0800364,0.0214807,0.0906501
400,0.0784826,0.0801709,0.0219692,0.0906622
401,0.0791161,0.0805883,0.0221163,0.0910823
402,0.0794478,0.0808052,0.0218494,0.0913034
403,0.0796787,0.0809665,0.02181,0.0915013
404,0.0800092,0.0811965,0.0222254,0.09183
405,0.0803213,0.0813626,0.0221674,0.0921644
406,0.0806143,0.0815356,0.0223301,0.0924357
407,0.0809186,0.0817538,0.0226676,0.0927389
408,0.0812642,0.0820179,0.0227541,0.0932267
409,0.0813658,0.0820202,0.0228365,0.0934096
410,0.0814182,0.08196,0.022915,0.0935831
411,0.081626,0.0820673,0.0229997,0.0939797
412,0.0820621,0.082496,0.0232396,0.0943762
413,0.0823993,0.0827669,0.0234287,0.0946746
414,0.0825385,0.0827617,0.0235797,0.0949132
415,0.082557,0.0826313,0.0238495,0.0952218
416,0.0829323,0.0828831,0.024197,0.0955119
417,0.0833409,0.083244,0.0244398,0.095801
418,0.0834907,0.083414,0.0244967,0.0961096
419,0.0837267,0.0835486,0.0246667,0.0964158
420,0.0838802,0.0835586,0.0249656,0.0966863
421,0.0839952,0.0835426,0.0252726,0.0969603
422,0.0843132,0.0837712,0.0253461,0.0973418
423,0.0845734,0.0839687,0.0256445,0.0977143
424,0.0848017,0.0841,0.0260505,0.0980145
