Temperature (¡C),m/z 18 (H2O),m/z 32 (O2),m/z 44 (CO2),m/z 64 (SO2)
30.0086,1.23E-09,6.69E-10,4.48E-12,1.02E-12
29.974,1.24E-09,6.76E-10,4.01E-12,1.23E-12
30.0491,1.23E-09,6.70E-10,4.44E-12,1.11E-12
30.2828,1.24E-09,6.74E-10,4.44E-12,1.48E-12
30.7842,1.24E-09,6.73E-10,4.55E-12,1.14E-12
31.6412,1.24E-09,6.81E-10,4.20E-12,1.52E-12
32.8482,1.23E-09,6.66E-10,4.54E-12,1.21E-12
34.4256,1.22E-09,6.77E-10,3.87E-12,1.28E-12
36.212,1.23E-09,6.66E-10,4.40E-12,1.14E-12
38.2807,1.24E-09,6.75E-10,4.30E-12,9.19E-13
40.5173,1.25E-09,6.70E-10,4.87E-12,1.37E-12
42.6654,1.23E-09,6.73E-10,4.90E-12,1.25E-12
45.0663,1.26E-09,6.76E-10,5.26E-12,1.35E-12
47.5496,1.27E-09,6.71E-10,5.55E-12,1.47E-12
50.1329,1.28E-09,6.73E-10,7.14E-12,1.18E-12
52.8498,1.30E-09,6.78E-10,7.82E-12,1.29E-12
55.5713,1.32E-09,6.70E-10,9.14E-12,1.08E-12
58.4103,1.34E-09,6.77E-10,1.07E-11,1.23E-12
61.1946,1.37E-09,6.78E-10,1.36E-11,1.09E-12
64.0671,1.39E-09,6.76E-10,1.72E-11,1.09E-12
66.9266,1.45E-09,6.74E-10,2.24E-11,1.20E-12
69.8787,1.49E-09,6.81E-10,2.57E-11,1.19E-12
72.839,1.55E-09,6.74E-10,3.16E-11,1.30E-12
75.98,1.61E-09,6.74E-10,3.58E-11,1.14E-12
78.9345,1.66E-09,6.76E-10,4.23E-11,1.09E-12
81.906,1.76E-09,6.82E-10,4.91E-11,1.57E-12
84.9588,1.84E-09,6.79E-10,5.27E-11,1.35E-12
87.984,1.92E-09,6.79E-10,5.70E-11,1.27E-12
91.1066,2.02E-09,6.70E-10,6.09E-11,1.22E-12
94.2652,2.08E-09,6.73E-10,6.11E-11,1.23E-12
97.2948,2.18E-09,6.77E-10,6.94E-11,1.09E-12
100.393,2.28E-09,6.83E-10,7.39E-11,1.33E-12
103.527,2.39E-09,6.85E-10,7.97E-11,1.43E-12
106.699,2.53E-09,6.81E-10,8.43E-11,1.05E-12
109.824,2.68E-09,6.80E-10,9.15E-11,1.61E-12
112.966,2.85E-09,6.84E-10,9.47E-11,8.30E-13
116.071,3.04E-09,6.81E-10,9.81E-11,1.49E-12
119.158,3.22E-09,6.86E-10,9.51E-11,1.55E-12
122.305,3.39E-09,6.89E-10,9.63E-11,9.65E-13
125.494,3.56E-09,6.88E-10,1.00E-10,1.74E-12
128.659,3.69E-09,6.92E-10,1.03E-10,1.25E-12
131.839,3.81E-09,6.87E-10,9.91E-11,1.30E-12
134.989,3.90E-09,6.92E-10,1.01E-10,1.36E-12
138.218,3.98E-09,6.97E-10,1.03E-10,1.34E-12
141.428,4.05E-09,7.01E-10,1.02E-10,1.20E-12
144.656,4.09E-09,6.92E-10,1.02E-10,1.38E-12
147.767,4.16E-09,6.91E-10,1.05E-10,1.29E-12
150.989,4.21E-09,7.00E-10,1.06E-10,1.47E-12
154.174,4.27E-09,6.93E-10,1.05E-10,1.49E-12
157.38,4.30E-09,6.92E-10,1.01E-10,1.28E-12
