Temperature (¡C),Mass (%)
30.0086,100
30.0086,100
30.006,100
30.0039,100
30.0022,100
30.0003,100
29.9987,100.001
29.9975,100.001
29.9961,100.001
29.9936,100.001
29.9905,100.001
29.9871,100.001
29.9844,100.001
29.9819,100.001
29.9798,100.001
29.9781,100.001
29.9768,100.001
29.9757,100.001
29.9748,100.001
29.9747,100.002
29.9747,100.002
29.9747,100.002
29.9746,100.002
29.9745,100.002
29.9739,100.003
29.974,100.003
29.9743,100.003
29.9738,100.003
29.9729,100.004
29.9726,100.004
29.9738,100.004
29.9758,100.004
29.9794,100.005
29.9834,100.005
29.9889,100.005
29.9943,100.005
29.9998,100.006
30.0065,100.006
30.0136,100.007
30.0199,100.007
30.0242,100.008
30.0272,100.008
30.029,100.009
30.0305,100.01
30.0318,100.01
30.0324,100.011
30.0325,100.011
30.0324,100.012
30.0327,100.013
30.0342,100.013
30.0371,100.014
30.0408,100.015
30.0456,100.016
30.0514,100.017
30.0591,100.018
30.0683,100.019
30.0786,100.02
30.0894,100.021
30.1007,100.022
30.1117,100.023
30.1233,100.025
30.1346,100.026
30.1435,100.027
30.1514,100.028
30.157,100.029
30.1628,100.03
30.1681,100.031
30.1734,100.032
30.1782,100.033
30.1837,100.034
30.1903,100.035
30.1977,100.035
30.2065,100.036
30.2159,100.037
30.2254,100.037
30.2356,100.038
30.2471,100.038
30.2599,100.039
30.274,100.04
30.2882,100.04
30.3032,100.041
30.3184,100.041
30.3337,100.042
30.349,100.043
30.364,100.044
30.3779,100.044
30.3917,100.045
30.4051,100.046
30.4182,100.047
30.4313,100.048
30.4441,100.048
30.4582,100.049
30.4742,100.05
30.4913,100.05
30.5094,100.051
30.5296,100.051
30.5514,100.051
30.5738,100.051
30.5969,100.052
30.6212,100.052
30.6472,100.052
30.6745,100.052
30.7028,100.052
30.7326,100.053
30.7631,100.053
30.7943,100.053
30.825,100.053
30.8548,100.054
30.8851,100.054
30.9149,100.055
30.9436,100.055
