id,category,item,key_materials,mass_kg,volume_m3,moisture_pct,pct_mass,pct_volume,commercial_equivalent,difficulty_factor,flags,notes
W001,Foam Packaging,Zotek F30,PVDF foam,1000,10.0,0.0,100,100,Zotek F30,3,"closed_cell;foam","Closed-cell foam from habitat delivery"
W002,EVA Waste,Cargo Transfer Bag,Nomex 92%; Nylon 3%; Polyester 2%,100,1.0,0.0,100,100,Magid Nomex Hood,2,"ctb;eva","Softgoods bag used during EVA logistics"
W003,Fabrics,Clothing,Cotton 56%; Nylon 6%; Polyester 38%,1000,10.0,4.0,77,59,Hanes Undershirt,2,"textile;garment","Everyday crew garments"
W004,Fabrics,Towels/Wash Cloths,Cotton 100%,280,2.5,5.0,21,39,R&R Wash Cloth,2,"textile;absorbent","High absorbency hygiene textiles"
W005,Fabrics,Cleaning Wipes,Cotton 100%,92,0.8,69.0,2,2,Virox Wipes,2,"textile;wipe","Pre-saturated wipes for disinfection"
W006,Food Packaging,Overwrap,Polyester 13%; Polyethylene 15%; Aluminum 30%,290,2.9,0.0,29,29,Glenroy Seal 225,2,"multilayer;foil","High barrier overwrap for rations"
W007,Food Packaging,Rehydratable Pouch,Nylon 41%; Polyethylene 33%; EVOH 11%,40,0.4,4.0,39,40,Winpak MB225PL,2,"multilayer;pouch","Retort pouch for hydrated meals"
W008,Food Packaging,Drink Pouch,Aluminum 24%; Polyethylene 65%; PET 11%,80,0.8,3.0,8,8,Capri Sun,2,"multilayer;drink","Drink pouch with straw interface"
W009,Structural Elements,Aluminum Struts,Aluminum >90%,900,3.0,0.0,90,90,Uline Al Pan,2,"aluminum;structural","Structural frame struts"
W010,Structural Elements,Polymer Matrix Composite,Thermoset 40%; Carbon Fiber 60%,300,1.8,0.0,10,10,True Composites Kit,2,"composite;structural","Rigid composite panels"
W011,Packaging,Air Cushion,Polyethylene 100%,40,2.0,0.0,4,2,Uline Air Pillow,1,"polyethylene;air_cushion","Inflatable dunnage"
W012,Packaging,Bubble Wrap Filler,Polyethylene 100%,18,1.6,0.0,1,2,Office Depot Bubble Wrap,1,"polyethylene;bubble_wrap","Secondary filler"
W013,Packaging,Reclosable Bags,Polyethylene 100%,90,0.9,0.0,9,2,CEL Kynar Gas Bag,1,"polyethylene;reclosable","Sample containment bags"
W014,Packaging,Anti-static Bubble Bags,Polyethylene 100%,90,0.9,0.0,9,2,Uline Anti-Static Bags,1,"polyethylene;antistatic","Electronics protection"
W015,Foam,Plastazote LD45 FR,Polyethylene 100%,360,6.8,0.0,36,68,Zotefoams Plastazote,1,"foam;fire_retardant","Fire-retardant foam panels"
W016,Gloves,Nitrile Gloves,Nitrile 100%,41,0.22,2.0,41,22,MedPride Gloves,1,"nitrile;glove","Disposable nitrile gloves"
