wavenumber_cm_1,absorbance_norm_1um,phase,temperature_C,material,source,license
3996.2875,0.000143536448827,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3994.35879,0.000125432048269,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3992.43008,0.000101551436515,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3990.50137,6.90758326470466e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3988.57266,1.98788027306744e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3986.64395,-3.50374385810798e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3984.71524,-8.39192558288082e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3982.78653,-0.000109408799019,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3980.85782,-0.000112113273913,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3978.92911,-0.000103333791918,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3977.0004,-9.34482381133119e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3975.07169,-8.74101523215406e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3973.14298,-7.67707427261023e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3971.21427,-5.8277318262222e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3969.28556,-3.56615428442002e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3967.35685,-1.44458342732628e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3965.42814,3.24792764586537e-06,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3963.49943,1.79011706760169e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3961.57072,3.08963653935324e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3959.64201,3.94199573087714e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3957.7133,4.35659702787482e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3955.78459,3.32323365601593e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3953.85588,1.21468839272102e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3951.92717,-1.04722745752776e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3949.99846,-2.29858276607181e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3948.06975,-2.96776693018745e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3946.14104,-3.19205074335757e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3944.21233,-2.53591000480451e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3942.28362,0.0,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3940.35491,4.37391906592873e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3938.4262,8.67383473547471e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3936.49749,9.86730823586133e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3934.56878,7.6723859438276e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3932.64007,4.17845939396397e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3930.71136,2.08023135642667e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3928.78265,2.64420912971229e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3926.85394,5.42659335200027e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3924.92523,8.83117821774024e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3922.99652,0.000121971241843,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3921.0678,0.000158790533868,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3919.13909,0.000210953677952,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3917.21038,0.000294056158479,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3915.28167,0.000412164415792,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3913.35296,0.000537842600221,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3911.42425,0.000625984311216,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3909.49554,0.000647880501154,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3907.56683,0.00060319103534,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3905.63812,0.000525139829519,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3903.70941,0.00046318515309,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3901.7807,0.000459731048145,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3899.85199,0.000507982571075,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3897.92328,0.000560716186586,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3895.99457,0.000577378622342,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3894.06586,0.000547233874916,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3892.13715,0.000480589273987,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3890.20844,0.000387206107385,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3888.27973,0.00028627111377,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3886.35102,0.000197870025641,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3884.42231,0.000144295305745,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3882.4936,0.000133039385547,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3880.56489,0.000161094763839,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3878.63618,0.000200360700713,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3876.70747,0.000231285550139,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3874.77876,0.000235959151333,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3872.85005,0.000209607529805,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3870.92134,0.000176700537845,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3868.99263,0.000170698607421,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3867.06392,0.000208518160526,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3865.13521,0.000275567407629,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3863.2065,0.000340632658258,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3861.27779,0.000370559499322,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3859.34908,0.000356028084688,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3857.42037,0.000300599726548,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3855.49166,0.000225934410824,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3853.56295,0.000162544308361,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3851.63424,0.000144723739981,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3849.70553,0.000185817559255,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3847.77682,0.000236323845816,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3845.84811,0.000230761138963,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3843.9194,0.000141216185833,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3841.99069,-8.9233622684748e-07,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3840.06198,-0.00013220157408,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3838.13327,-0.000201434207148,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3836.20456,-0.000196454810198,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3834.27585,-0.000137789295345,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3832.34714,-6.06071968733727e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3830.41843,0.0,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3828.48972,3.76079442510366e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3826.56101,1.56376502207282e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3824.6323,-6.44620975306176e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3822.70359,-0.000163819380559,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3820.77488,-0.00023950862042,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3818.84617,-0.000244421866587,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3816.91746,-0.000165905878787,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3814.98874,-5.05322077830261e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3813.06003,5.14360151345778e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3811.13132,9.71982565216603e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3809.20261,7.4878929484747e-05,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3807.2739,-8.2372634252984e-06,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3805.34519,-0.000122020593879,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3803.41648,-0.000220041111884,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3801.48777,-0.000270491699186,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
3799.55906,-0.000262313642482,alpha,160,PVDF,Mendeley Data: 10.17632/sfbpt6sjb3.1,CC BY 4.0
